Unannotated Annotated CDSs
GB_GCA_002398365.1 2736 1628 4364
GB_GCA_002722385.1 318 634 952
GB_GCA_002404605.1 967 1074 2041
GB_GCA_002712335.1 951 1673 2624
GB_GCA_002405005.1 562 634 1196
GB_GCA_002293065.1 1125 873 1998
GB_GCA_002432625.1 957 1109 2066
GB_GCA_002341315.1 1200 1416 2616
GB_GCA_002415425.1 1076 922 1998
GB_GCA_002341345.1 1961 1295 3256
GB_GCA_002329125.1 808 885 1693
GB_GCA_002709075.1 910 1457 2367
GB_GCA_900169065.1 1762 2010 3772
GB_GCA_002789335.1 354 388 742
GB_GCA_002718815.1 3051 1881 4932
GB_GCA_002382445.1 793 1527 2320
GB_GCA_002779365.1 315 298 613
GB_GCA_002840535.1 3346 2908 6254
GB_GCA_002724245.1 3772 1950 5722
GB_GCA_002782285.1 421 406 827
GB_GCA_002780715.1 1571 1543 3114
GB_GCA_002453895.1 1477 1231 2708
GB_GCA_002773625.1 342 360 702
GB_GCA_002336265.1 928 890 1818
GB_GCA_002435785.1 2916 1529 4445
GB_GCA_002457735.1 425 562 987
GB_GCA_002347985.1 1056 872 1928
GB_GCA_002785005.1 577 388 965
GB_GCA_002360755.1 2006 2550 4556
GB_GCA_002281395.1 1512 1533 3045
GB_GCA_002722845.1 1387 902 2289
GB_GCA_002338385.1 560 1014 1574
GB_GCA_002432125.1 1258 1397 2655
GB_GCA_002687515.1 1667 2180 3847
GB_GCA_002314055.1 1540 1070 2610
GB_GCA_002733665.1 1342 1156 2498
GB_GCA_002790795.1 761 621 1382
GB_GCA_002423385.1 2193 1543 3736
GB_GCA_002381895.1 1584 1671 3255
GB_GCA_002698705.1 746 865 1611
GB_GCA_002407855.1 866 874 1740
GB_GCA_002325295.1 969 1362 2331
GB_GCA_002450435.1 657 821 1478
GB_GCA_002385985.1 1113 1309 2422
GB_GCA_002423895.1 1179 940 2119
GB_GCA_002315595.1 808 833 1641
GB_GCA_002429315.1 2007 1526 3533
GB_GCA_002280405.1 1338 1620 2958
GB_GCA_002397865.1 377 575 952
GB_GCA_900240245.1 1416 1689 3105
GB_GCA_002771035.1 1122 445 1567
GB_GCA_002308775.1 668 698 1366
GB_GCA_002292105.1 1341 936 2277
GB_GCA_002699025.1 4619 2408 7027
GB_GCA_002781785.1 672 499 1171
GB_GCA_002453175.1 288 291 579
GB_GCA_002323085.1 1204 975 2179
GB_GCA_002413865.1 641 442 1083
GB_GCA_002731735.1 1014 963 1977
GB_GCA_002693325.1 1514 1497 3011
GB_GCA_002344735.1 513 372 885
GB_GCA_002841025.1 1199 1070 2269
GB_GCA_002309425.1 1243 809 2052
GB_GCA_002295925.1 1277 1095 2372
GB_GCA_002415485.1 1326 1545 2871
GB_GCA_002359495.1 1063 2787 3850
GB_GCA_002791395.1 721 408 1129
GB_GCA_002429165.1 1401 1504 2905
GB_GCA_002436905.1 648 619 1267
GB_GCA_002753305.1 1846 1539 3385
GB_GCA_002395525.1 1040 959 1999
GB_GCA_002359915.1 744 1007 1751
GB_GCA_002436115.1 604 964 1568
GB_GCA_002361355.1 1395 1292 2687
GB_GCA_002382205.1 1269 1844 3113
GB_GCA_002791155.1 1448 939 2387
GB_GCA_002839375.1 2697 1972 4669
GB_GCA_002306815.1 726 1183 1909
GB_GCA_002311345.1 1377 1033 2410
GB_GCA_002343385.1 472 392 864
GB_GCA_002403545.1 508 815 1323
GB_GCA_002339345.1 946 1417 2363
GB_GCA_002395625.1 904 837 1741
GB_GCA_002313905.1 1634 1495 3129
GB_GCA_002840835.1 2513 2866 5379
GB_GCA_002297285.1 864 769 1633
GB_GCA_002319885.1 1881 1668 3549
GB_GCA_002694885.1 1816 1474 3290
GB_GCA_002452815.1 1300 1817 3117
GB_GCA_002438685.1 896 967 1863
GB_GCA_002394835.1 1034 719 1753
GB_GCA_002787415.1 355 306 661
GB_GCA_002753505.1 1892 1619 3511
GB_GCA_002842205.1 1454 2126 3580
GB_GCA_002351705.1 897 952 1849
GB_GCA_002317385.1 1212 1130 2342
GB_GCA_002396885.1 2779 1638 4417
GB_GCA_002332905.1 1499 1540 3039
GB_GCA_002399315.1 1191 1508 2699
GB_GCA_002346405.1 422 849 1271
GB_GCA_002424575.1 610 772 1382
GB_GCA_002364245.1 930 772 1702
GB_GCA_002440965.1 606 902 1508
GB_GCA_002432095.1 2161 1812 3973
GB_GCA_002293105.1 1077 723 1800
GB_GCA_002773245.1 518 426 944
GB_GCA_002784345.1 474 350 824
GB_GCA_002478245.1 445 678 1123
GB_GCA_002760085.1 822 1189 2011
GB_GCA_002291955.1 1788 1676 3464
GB_GCA_002297905.1 878 926 1804
GB_GCA_002309805.1 1464 1014 2478
GB_GCA_002397835.1 778 920 1698
GB_GCA_002790695.1 179 252 431
GB_GCA_002281025.1 478 933 1411
GB_GCA_002470695.1 881 1341 2222
GB_GCA_002480425.1 1256 1498 2754
GB_GCA_002298915.1 1146 1513 2659
GB_GCA_002695205.1 1196 1302 2498
GB_GCA_002452425.1 747 783 1530
GB_GCA_002771495.1 356 304 660
GB_GCA_002478765.1 680 887 1567
GB_GCA_002780705.1 603 697 1300
GB_GCA_002840635.1 1930 1499 3429
GB_GCA_002435245.1 1026 1292 2318
GB_GCA_002360945.1 1084 3368 4452
GB_GCA_002728495.1 996 1129 2125
GB_GCA_002293825.1 436 425 861
GB_GCA_002713695.1 2021 1290 3311
GB_GCA_002281575.1 1458 1391 2849
GB_GCA_002304445.1 1630 1516 3146
GB_GCA_002473365.1 923 894 1817
GB_GCA_002309335.1 1054 716 1770
GB_GCA_002336305.1 610 733 1343
GB_GCA_002428895.1 969 1099 2068
GB_GCA_002733955.1 2120 2521 4641
GB_GCA_002490775.1 1811 1369 3180
GB_GCA_002346525.1 1076 1250 2326
GB_GCA_002338605.1 2234 1659 3893
GB_GCA_002309875.1 820 748 1568
GB_GCA_002281815.1 626 1232 1858
GB_GCA_002491805.1 651 708 1359
GB_GCA_002347935.1 383 721 1104
GB_GCA_002414845.1 1274 1590 2864
GB_GCA_002772785.1 882 513 1395
GB_GCA_002398695.1 458 751 1209
GB_GCA_002419445.1 442 680 1122
GB_GCA_002472945.1 1831 1445 3276
GB_GCA_002279765.1 4263 2050 6313
GB_GCA_002686065.1 1571 1119 2690
GB_GCA_002383325.1 1633 1356 2989
GB_GCA_002353755.1 1271 1324 2595
GB_GCA_002490635.1 874 864 1738
GB_GCA_002293795.1 454 341 795
GB_GCA_002492725.1 1505 1366 2871
GB_GCA_002426835.1 1325 1254 2579
GB_GCA_002712305.1 2596 1896 4492
GB_GCA_002256925.1 1520 1546 3066
GB_GCA_002472065.1 993 1108 2101
GB_GCA_002451155.1 1853 1465 3318
GB_GCA_002724575.1 1070 1053 2123
GB_GCA_002779055.1 345 387 732
GB_GCA_002408215.1 933 1078 2011
GB_GCA_002345315.1 964 3122 4086
GB_GCA_002493435.1 648 675 1323
GB_GCA_002363075.1 589 572 1161
GB_GCA_002336895.1 3599 1975 5574
GB_GCA_002323535.1 986 742 1728
GB_GCA_002471105.1 2566 1548 4114
GB_GCA_002353085.1 919 789 1708
GB_GCA_002403785.1 1802 2074 3876
GB_GCA_002431165.1 1188 888 2076
GB_GCA_002349765.1 985 1117 2102
GB_GCA_002856295.1 2097 3797 5894
GB_GCA_002782885.1 519 365 884
GB_GCA_002298225.1 3266 2501 5767
GB_GCA_002410705.1 851 920 1771
GB_GCA_002783385.1 1136 1189 2325
GB_GCA_002238865.1 2107 1541 3648
GB_GCA_002401925.1 403 362 765
GB_GCA_002412625.1 1068 927 1995
GB_GCA_002451955.1 1079 830 1909
GB_GCA_002457305.1 511 695 1206
GB_GCA_002423185.1 1318 1091 2409
GB_GCA_002341585.1 1297 1322 2619
GB_GCA_002795965.1 424 348 772
GB_GCA_002440905.1 551 428 979
GB_GCA_002760295.1 739 1204 1943
GB_GCA_002341865.1 2414 2133 4547
GB_GCA_002369175.1 980 1107 2087
GB_GCA_002712105.1 375 689 1064
GB_GCA_002492565.1 818 747 1565
GB_GCA_002403455.1 1328 1281 2609
GB_GCA_002419055.1 906 1051 1957
GB_GCA_002299555.1 1221 1148 2369
GB_GCA_002352465.1 446 379 825
GB_GCA_002789675.1 1182 1075 2257
GB_GCA_002304915.1 937 858 1795
GB_GCA_002793915.1 533 396 929
GB_GCA_002725915.1 1713 1521 3234
GB_GCA_002280515.1 1638 2052 3690
GB_GCA_002842735.1 1217 1344 2561
GB_GCA_002385605.1 604 802 1406
GB_GCA_002238585.1 2049 909 2958
GB_GCA_002422455.1 737 1070 1807
GB_GCA_002481665.1 638 1129 1767
GB_GCA_002408265.1 434 701 1135
GB_GCA_002422465.1 1266 1481 2747
GB_GCA_002433925.1 559 402 961
GB_GCA_002473275.1 2816 1309 4125
GB_GCA_002788855.1 695 483 1178
GB_GCA_002441305.1 530 749 1279
GB_GCA_002794035.1 491 368 859
GB_GCA_002298605.1 566 853 1419
GB_GCA_002304925.1 1394 1255 2649
GB_GCA_002411515.1 1340 1204 2544
GB_GCA_002419195.1 804 1243 2047
GB_GCA_002841975.1 1157 1017 2174
GB_GCA_002424495.1 2152 1690 3842
GB_GCA_002771745.1 2288 1466 3754
GB_GCA_000245335.1 1252 2808 4060
GB_GCA_002410825.1 1651 1371 3022
GB_GCA_002747875.1 1398 1338 2736
GB_GCA_002390365.1 710 948 1658
GB_GCA_002299425.1 903 1278 2181
GB_GCA_002709665.1 2760 2100 4860
GB_GCA_002418825.1 895 1196 2091
GB_GCA_002298145.1 1881 1605 3486
GB_GCA_002364555.1 1337 968 2305
GB_GCA_002401495.1 812 397 1209
GB_GCA_002393165.1 344 276 620
GB_GCA_002338525.1 867 926 1793
GB_GCA_002792165.1 248 252 500
GB_GCA_002391045.1 2414 2585 4999
GB_GCA_002296885.1 1203 935 2138
GB_GCA_002363375.1 1479 1820 3299
GB_GCA_002338015.1 2220 2664 4884
GB_GCA_002256205.1 1604 2275 3879
GB_GCA_002778885.1 417 428 845
GB_GCA_002316275.1 551 777 1328
GB_GCA_002427535.1 518 770 1288
GB_GCA_002455995.1 989 3278 4267
GB_GCA_002474325.1 1443 1179 2622
GB_GCA_002440705.1 1501 1144 2645
GB_GCA_002306635.1 1727 1113 2840
GB_GCA_002308665.1 598 735 1333
GB_GCA_002256465.1 649 971 1620
GB_GCA_002315765.1 925 949 1874
GB_GCA_002409995.1 1624 1968 3592
GB_GCA_002309235.1 1446 1155 2601
GB_GCA_002433875.1 713 476 1189
GB_GCA_002373015.1 1163 1060 2223
GB_GCA_002817055.1 635 691 1326
GB_GCA_002774795.1 675 315 990
GB_GCA_002722515.1 801 1264 2065
GB_GCA_002451515.1 541 744 1285
GB_GCA_002342065.1 2188 1367 3555
GB_GCA_002311385.1 1752 1812 3564
GB_GCA_002308255.1 809 882 1691
GB_GCA_002476645.1 1315 936 2251
GB_GCA_002323935.1 293 484 777
GB_GCA_002305715.1 1057 1201 2258
GB_GCA_002427735.1 2331 1328 3659
GB_GCA_002842695.1 983 1091 2074
GB_GCA_002310115.1 1841 1019 2860
GB_GCA_002747695.1 629 621 1250
GB_GCA_002402795.1 984 1204 2188
GB_GCA_002479215.1 1493 1366 2859
GB_GCA_002433595.1 419 660 1079
GB_GCA_002774705.1 360 336 696
GB_GCA_002438075.1 1015 859 1874
GB_GCA_002390525.1 267 882 1149
GB_GCA_002746425.1 2016 2052 4068
GB_GCA_002684605.1 945 1267 2212
GB_GCA_002396105.1 1061 801 1862
GB_GCA_002393305.1 1612 2125 3737
GB_GCA_002793855.1 468 447 915
GB_GCA_002317455.1 1432 802 2234
GB_GCA_002479365.1 1943 2549 4492
GB_GCA_002401195.1 764 611 1375
GB_GCA_002723655.1 1430 1438 2868
GB_GCA_002344525.1 2226 1410 3636
GB_GCA_002448795.1 858 1018 1876
GB_GCA_002428105.1 1955 1145 3100
GB_GCA_002490825.1 889 712 1601
GB_GCA_002346325.1 342 730 1072
GB_GCA_002796985.1 2131 3250 5381
GB_GCA_002418465.1 1542 2359 3901
GB_GCA_002291505.1 505 377 882
GB_GCA_002774635.1 606 495 1101
GB_GCA_002306665.1 1529 1401 2930
GB_GCA_002344135.1 1702 1209 2911
GB_GCA_002500135.1 510 440 950
GB_GCA_002424385.1 324 505 829
GB_GCA_002393575.1 1751 1006 2757
GB_GCA_002840935.1 1975 1131 3106
GB_GCA_002708825.1 2023 2439 4462
GB_GCA_002491225.1 1109 969 2078
GB_GCA_002471375.1 1694 1087 2781
GB_GCA_002788675.1 750 443 1193
GB_GCA_002782045.1 192 208 400
GB_GCA_002392965.1 1000 804 1804
GB_GCA_002300045.1 395 1014 1409
GB_GCA_002314945.1 1179 906 2085
GB_GCA_002350265.1 883 911 1794
GB_GCA_002362235.1 816 825 1641
GB_GCA_002387325.1 963 724 1687
GB_GCA_002337365.1 1780 1966 3746
GB_GCA_002787035.1 869 508 1377
GB_GCA_002449145.1 619 692 1311
GB_GCA_002450895.1 2098 1711 3809
GB_GCA_002437025.1 745 615 1360
GB_GCA_002376845.1 1266 1039 2305
GB_GCA_002690325.1 1377 1146 2523
GB_GCA_002322295.1 2807 1954 4761
GB_GCA_002501085.1 980 1075 2055
GB_GCA_002454195.1 1163 1073 2236
GB_GCA_002401855.1 1311 1690 3001
GB_GCA_002472095.1 1000 837 1837
GB_GCA_002328565.1 669 491 1160
GB_GCA_002436285.1 573 1011 1584
GB_GCA_002438845.1 1049 871 1920
GB_GCA_002792575.1 449 403 852
GB_GCA_002351865.1 820 834 1654
GB_GCA_002441465.1 1530 1388 2918
GB_GCA_002690045.1 1501 1228 2729
GB_GCA_002293265.1 1419 1170 2589
GB_GCA_002343995.1 413 354 767
GB_GCA_002243685.1 4407 3763 8170
GB_GCA_002346845.1 338 770 1108
GB_GCA_002779785.1 1435 1354 2789
GB_GCA_002712255.1 482 867 1349
GB_GCA_002299585.1 555 957 1512
GB_GCA_002714055.1 265 501 766
GB_GCA_002371825.1 1337 1107 2444
GB_GCA_002297045.1 646 584 1230
GB_GCA_002709005.1 1657 2162 3819
GB_GCA_002341165.1 811 1154 1965
GB_GCA_002315475.1 973 772 1745
GB_GCA_002701555.1 710 651 1361
GB_GCA_002342805.1 1657 2076 3733
GB_GCA_002398875.1 1058 1202 2260
GB_GCA_002840165.1 1204 1307 2511
GB_GCA_002491045.1 1513 979 2492
GB_GCA_002431715.1 2024 1377 3401
GB_GCA_002472835.1 2709 2130 4839
GB_GCA_002773755.1 176 240 416
GB_GCA_002798435.1 2029 2435 4464
GB_GCA_002355215.1 819 1272 2091
GB_GCA_002727315.1 956 1348 2304
GB_GCA_002783965.1 329 373 702
GB_GCA_002389175.1 1642 2082 3724
GB_GCA_002320875.1 655 879 1534
GB_GCA_002309635.1 1250 980 2230
GB_GCA_002312935.1 686 1556 2242
GB_GCA_002385415.1 854 887 1741
GB_GCA_002469525.1 917 1130 2047
GB_GCA_002729155.1 1198 1408 2606
GB_GCA_002436005.1 797 852 1649
GB_GCA_002402295.1 462 562 1024
GB_GCA_002298785.1 3274 1951 5225
GB_GCA_002304785.1 1403 2254 3657
GB_GCA_002342685.1 1663 2715 4378
GB_GCA_002787255.1 503 400 903
GB_GCA_002715505.1 681 1076 1757
GB_GCA_002404335.1 1759 1258 3017
GB_GCA_002484105.1 1260 1247 2507
GB_GCA_002372275.1 618 572 1190
GB_GCA_002423995.1 1074 953 2027
GB_GCA_002454125.1 1264 1357 2621
GB_GCA_002732015.1 562 952 1514
GB_GCA_002398405.1 1975 1639 3614
GB_GCA_002354135.1 1951 2086 4037
GB_GCA_002772095.1 458 407 865
GB_GCA_002839765.1 1724 1171 2895
GB_GCA_002373915.1 906 969 1875
GB_GCA_002291895.1 1404 1303 2707
GB_GCA_002431865.1 1000 1048 2048
GB_GCA_002422205.1 1100 1111 2211
GB_GCA_002359555.1 767 1245 2012
GB_GCA_002338885.1 758 872 1630
GB_GCA_002371535.1 903 795 1698
GB_GCA_002312035.1 400 549 949
GB_GCA_002440225.1 1520 911 2431
GB_GCA_002346825.1 391 851 1242
GB_GCA_002327465.1 898 1157 2055
GB_GCA_002296665.1 1261 1461 2722
GB_GCA_002338715.1 2850 1467 4317
GB_GCA_002435305.1 709 1143 1852
GB_GCA_002291845.1 921 958 1879
GB_GCA_002402225.1 1073 1384 2457
GB_GCA_002450905.1 1859 1385 3244
GB_GCA_002344965.1 1519 1255 2774
GB_GCA_002402645.1 1800 1528 3328
GB_GCA_002411105.1 977 1278 2255
GB_GCA_002358905.1 1370 854 2224
GB_GCA_002683335.1 808 1267 2075
GB_GCA_002384045.1 806 1248 2054
GB_GCA_002368625.1 1053 981 2034
GB_GCA_002493715.1 1367 894 2261
GB_GCA_002707795.1 1271 1179 2450
GB_GCA_002382025.1 364 298 662
GB_GCA_002280175.1 2210 1364 3574
GB_GCA_002705465.1 459 814 1273
GB_GCA_002348465.1 928 1007 1935
GB_GCA_002692525.1 1514 1763 3277
GB_GCA_001874425.2 2400 3016 5416
GB_GCA_002780905.1 1047 1090 2137
GB_GCA_002690715.1 485 756 1241
GB_GCA_002779505.1 1038 659 1697
GB_GCA_002351845.1 739 1057 1796
GB_GCA_002450815.1 658 884 1542
GB_GCA_002456055.1 1208 1030 2238
GB_GCA_002328405.1 888 837 1725
GB_GCA_002327625.1 457 644 1101
GB_GCA_002427685.1 927 1146 2073
GB_GCA_002771825.1 1088 726 1814
GB_GCA_002348095.1 861 1179 2040
GB_GCA_002314855.1 971 993 1964
GB_GCA_002419265.1 293 301 594
GB_GCA_002692855.1 2693 1486 4179
GB_GCA_002382665.1 898 1057 1955
GB_GCA_002317115.1 1470 863 2333
GB_GCA_002726335.1 2986 2255 5241
GB_GCA_002441345.1 1310 1204 2514
GB_GCA_002843175.1 1942 1652 3594
GB_GCA_002401455.1 762 1116 1878
GB_GCA_002327905.1 1017 871 1888
GB_GCA_002694595.1 221 424 645
GB_GCA_002418565.1 2168 3264 5432
GB_GCA_002385465.1 979 1023 2002
GB_GCA_002840715.1 1898 1632 3530
GB_GCA_002307135.1 1782 1262 3044
GB_GCA_002363735.1 335 405 740
GB_GCA_002451935.1 461 602 1063
GB_GCA_002480015.1 909 975 1884
GB_GCA_002361365.1 770 622 1392
GB_GCA_002784025.1 363 380 743
GB_GCA_002792315.1 696 512 1208
GB_GCA_002359425.1 1172 1114 2286
GB_GCA_002729615.1 1453 1711 3164
GB_GCA_002742695.1 1075 1114 2189
GB_GCA_002361175.1 1447 1325 2772
GB_GCA_002331145.1 350 308 658
GB_GCA_002421665.1 655 914 1569
GB_GCA_002378745.1 399 338 737
GB_GCA_002308035.1 1099 896 1995
GB_GCA_002435905.1 981 1394 2375
GB_GCA_002841155.1 1837 1874 3711
GB_GCA_002423025.1 1179 1666 2845
GB_GCA_002452215.1 906 1016 1922
GB_GCA_002387685.1 611 1443 2054
GB_GCA_002753735.1 2103 1723 3826
GB_GCA_002391105.1 956 912 1868
GB_GCA_002448815.1 781 1007 1788
GB_GCA_002478835.1 780 1174 1954
GB_GCA_002412665.1 531 351 882
GB_GCA_002399205.1 494 666 1160
GB_GCA_002840365.1 381 325 706
GB_GCA_002491605.1 749 882 1631
GB_GCA_002440665.1 1484 1880 3364
GB_GCA_002423365.1 1760 1472 3232
GB_GCA_002691565.1 477 1080 1557
GB_GCA_002355495.1 4192 3045 7237
GB_GCA_002427425.1 832 897 1729
GB_GCA_002369135.1 602 804 1406
GB_GCA_002315655.1 1317 1146 2463
GB_GCA_002430425.1 649 915 1564
GB_GCA_002376715.1 753 828 1581
GB_GCA_002785325.1 436 383 819
GB_GCA_002361835.1 1764 1167 2931
GB_GCA_002421865.1 1047 1607 2654
GB_GCA_002398485.1 595 939 1534
GB_GCA_002239045.1 1652 1258 2910
GB_GCA_002293455.1 1630 1187 2817
GB_GCA_002434045.1 572 394 966
GB_GCA_002791775.1 4869 2140 7009
GB_GCA_002401545.1 1149 1401 2550
GB_GCA_002771995.1 585 759 1344
GB_GCA_002683395.1 687 1256 1943
GB_GCA_002784925.1 3042 1496 4538
GB_GCA_002309115.1 969 703 1672
GB_GCA_002448395.1 1096 1059 2155
GB_GCA_002721785.1 1018 1555 2573
GB_GCA_002430615.1 569 361 930
GB_GCA_002313325.1 349 657 1006
GB_GCA_002694715.1 1628 2066 3694
GB_GCA_002441135.1 1091 1649 2740
GB_GCA_002365865.1 643 975 1618
GB_GCA_002863155.1 1662 1571 3233
GB_GCA_002331625.1 2832 1737 4569
GB_GCA_002439665.1 560 890 1450
GB_GCA_002329525.1 1424 1629 3053
GB_GCA_002383285.1 1192 1815 3007
GB_GCA_002368575.1 941 1047 1988
GB_GCA_002396645.1 1572 1563 3135
GB_GCA_002457685.1 502 603 1105
GB_GCA_002412585.1 1355 1420 2775
GB_GCA_002434285.1 1840 1376 3216
GB_GCA_002399085.1 1043 1006 2049
GB_GCA_002861015.1 783 956 1739
GB_GCA_002352665.1 2045 1524 3569
GB_GCA_002371245.1 652 888 1540
GB_GCA_002431885.1 807 656 1463
GB_GCA_002491685.1 634 539 1173
GB_GCA_002344405.1 694 979 1673
GB_GCA_002335425.1 1308 1025 2333
GB_GCA_002684135.1 1028 1286 2314
GB_GCA_002372375.1 657 473 1130
GB_GCA_002395605.1 970 780 1750
GB_GCA_002399345.1 560 993 1553
GB_GCA_002291875.1 1283 1197 2480
GB_GCA_002862125.1 2288 2039 4327
GB_GCA_002791035.1 256 263 519
GB_GCA_002839795.1 1401 1521 2922
GB_GCA_002359735.1 1071 1067 2138
GB_GCA_002430835.1 1508 1513 3021
GB_GCA_002373075.1 736 560 1296
GB_GCA_002317355.1 1500 1122 2622
GB_GCA_002409455.1 1092 1285 2377
GB_GCA_002707905.1 383 533 916
GB_GCA_002482845.1 3183 1585 4768
GB_GCA_002350615.1 1161 843 2004
GB_GCA_002490595.1 842 783 1625
GB_GCA_002392945.1 418 411 829
GB_GCA_002295725.1 1355 997 2352
GB_GCA_002373535.1 730 635 1365
GB_GCA_002493625.1 1363 1225 2588
GB_GCA_002454165.1 709 1225 1934
GB_GCA_002849655.1 1580 2656 4236
GB_GCA_002689665.1 958 831 1789
GB_GCA_002282495.1 1445 1483 2928
GB_GCA_002784125.1 2180 1199 3379
GB_GCA_002393625.1 780 822 1602
GB_GCA_002695075.1 662 676 1338
GB_GCA_002717625.1 603 721 1324
GB_GCA_002298755.1 976 1035 2011
GB_GCA_002297115.1 845 792 1637
GB_GCA_002748015.1 660 512 1172
GB_GCA_002311455.1 862 1037 1899
GB_GCA_002392285.1 293 397 690
GB_GCA_002721705.1 1680 1220 2900
GB_GCA_002737185.1 297 490 787
GB_GCA_002471275.1 3316 1954 5270
GB_GCA_002393965.1 750 782 1532
GB_GCA_002685095.1 2762 3358 6120
GB_GCA_002430725.1 691 458 1149
GB_GCA_002688435.1 443 754 1197
GB_GCA_002371715.1 1395 982 2377
GB_GCA_002772225.1 378 320 698
GB_GCA_002473385.1 1158 1498 2656
GB_GCA_002361535.1 1200 996 2196
GB_GCA_002712245.1 376 470 846
GB_GCA_002311155.1 795 1002 1797
GB_GCA_002713825.1 610 1132 1742
GB_GCA_002471555.1 1335 1194 2529
GB_GCA_002448305.1 970 1185 2155
GB_GCA_002771195.1 630 751 1381
GB_GCA_002455375.1 1442 1171 2613
GB_GCA_002717915.1 548 592 1140
GB_GCA_002327645.1 389 688 1077
GB_GCA_002363095.1 521 730 1251
GB_GCA_002450985.1 2329 1687 4016
GB_GCA_002787355.1 626 478 1104
GB_GCA_002733605.1 1388 1479 2867
GB_GCA_002339385.1 965 1091 2056
GB_GCA_002313635.1 286 291 577
GB_GCA_002308155.1 561 575 1136
GB_GCA_002732905.1 851 1044 1895
GB_GCA_002371705.1 1345 914 2259
GB_GCA_002349455.1 946 1027 1973
GB_GCA_002787615.1 736 785 1521
GB_GCA_002707685.1 1049 1556 2605
GB_GCA_002730315.1 515 681 1196
GB_GCA_002437495.1 734 717 1451
GB_GCA_002703325.1 626 780 1406
GB_GCA_002345705.1 681 753 1434
GB_GCA_002479715.1 797 883 1680
GB_GCA_002387605.1 660 1249 1909
GB_GCA_002385665.1 785 1026 1811
GB_GCA_002437245.1 722 1011 1733
GB_GCA_002399525.1 666 826 1492
GB_GCA_002697405.1 500 594 1094
GB_GCA_002484335.1 1565 1390 2955
GB_GCA_002398775.1 758 830 1588
GB_GCA_002404095.1 4199 1819 6018
GB_GCA_002304995.1 1371 1715 3086
GB_GCA_002783485.1 1387 1242 2629
GB_GCA_002305445.1 733 726 1459
GB_GCA_002433625.1 450 558 1008
GB_GCA_002328485.1 1006 1167 2173
GB_GCA_002314675.1 1810 1066 2876
GB_GCA_002316385.1 1884 1875 3759
GB_GCA_002787405.1 557 426 983
GB_GCA_002479455.1 861 876 1737
GB_GCA_002718585.1 603 756 1359
GB_GCA_002396765.1 1227 1767 2994
GB_GCA_002691365.1 656 778 1434
GB_GCA_002394725.1 1038 844 1882
GB_GCA_002348535.1 2604 1245 3849
GB_GCA_002367715.1 380 935 1315
GB_GCA_002708715.1 1138 1016 2154
GB_GCA_002441555.1 661 1017 1678
GB_GCA_002392405.1 671 585 1256
GB_GCA_002316295.1 1387 1515 2902
GB_GCA_002840985.1 1553 1451 3004
GB_GCA_002419505.1 707 824 1531
GB_GCA_002784085.1 1782 944 2726
GB_GCA_002770805.1 1648 1341 2989
GB_GCA_002691345.1 1092 960 2052
GB_GCA_002772645.1 541 394 935
GB_GCA_002733485.1 1272 1473 2745
GB_GCA_002293125.1 923 874 1797
GB_GCA_002731255.1 564 1052 1616
GB_GCA_002344205.1 1633 1495 3128
GB_GCA_002781825.1 415 606 1021
GB_GCA_002351345.1 1090 725 1815
GB_GCA_002788915.1 469 328 797
GB_GCA_002774135.1 612 410 1022
GB_GCA_002361425.1 509 325 834
GB_GCA_002320285.1 1608 1333 2941
GB_GCA_002337925.1 1731 2408 4139
GB_GCA_002685605.1 695 804 1499
GB_GCA_002704045.1 645 701 1346
GB_GCA_002440125.1 660 623 1283
GB_GCA_002331385.1 1609 2372 3981
GB_GCA_002795915.1 399 366 765
GB_GCA_002422725.1 1717 1315 3032
GB_GCA_000223335.2 805 1104 1909
GB_GCA_002361485.1 921 791 1712
GB_GCA_002717765.1 540 642 1182
GB_GCA_002413665.1 1933 1263 3196
GB_GCA_002307715.1 305 337 642
GB_GCA_002329205.1 823 574 1397
GB_GCA_002309275.1 1172 873 2045
GB_GCA_002371565.1 1014 779 1793
GB_GCA_002753495.1 1435 1165 2600
GB_GCA_002380945.1 1341 1495 2836
GB_GCA_002722105.1 988 961 1949
GB_GCA_002434005.1 644 364 1008
GB_GCA_002340645.1 443 912 1355
GB_GCA_002718285.1 1350 1291 2641
GB_GCA_002479645.1 940 970 1910
GB_GCA_002719495.1 1329 1323 2652
GB_GCA_002729175.1 714 894 1608
GB_GCA_002311275.1 1069 1110 2179
GB_GCA_002705045.1 780 1370 2150
GB_GCA_002413045.1 1790 1225 3015
GB_GCA_002389675.1 1104 1690 2794
GB_GCA_002688505.1 108 287 395
GB_GCA_002704685.1 706 828 1534
GB_GCA_002683685.1 839 1339 2178
GB_GCA_002748055.1 1075 1025 2100
GB_GCA_002725185.1 1239 1996 3235
GB_GCA_002381695.1 2166 2274 4440
GB_GCA_002413425.1 438 389 827
GB_GCA_002688105.1 503 850 1353
GB_GCA_002724475.1 645 809 1454
GB_GCA_002296585.1 1109 1405 2514
GB_GCA_002395825.1 1523 1189 2712
GB_GCA_002862745.1 866 856 1722
GB_GCA_002320275.1 1091 788 1879
GB_GCA_002779725.1 440 399 839
GB_GCA_002713455.1 591 704 1295
GB_GCA_002339085.1 709 1301 2010
GB_GCA_002686705.1 1292 1198 2490
GB_GCA_002238565.1 2930 2362 5292
GB_GCA_002309915.1 827 769 1596
GB_GCA_002788475.1 314 294 608
