Prokka_unannotated Prokka_annotated Prokka_CDSs KEGG_unannotated KEGG_annotated Pfam_unannotated Pfam_annotated KEGG_Pfam_CDSs
GB_GCA_000821245.2 1562 2290 3852 1510 2348 663 3195 3858
GB_GCA_002753095.1 1721 1436 3157 1653 1544 740 2457 3197
GB_GCA_002332615.1 996 1213 2209 929 1291 375 1845 2220
GB_GCA_002348385.1 1300 1926 3226 1206 2043 439 2810 3249
GB_GCA_002492595.1 1073 1101 2174 995 1212 411 1796 2207
GB_GCA_002292895.1 1673 847 2520 1680 919 998 1601 2599
GB_GCA_002350585.1 1287 856 2143 1260 919 628 1551 2179
GB_GCA_002789075.1 522 366 888 550 369 342 577 919
GB_GCA_002352145.1 1820 1327 3147 1934 1358 862 2430 3292
GB_GCA_002323055.1 382 362 744 328 417 210 535 745
GB_GCA_002728115.1 467 945 1412 476 957 200 1233 1433
GB_GCA_002786855.1 2148 1517 3665 2005 1696 869 2832 3701
GB_GCA_002409885.1 797 674 1471 887 634 476 1045 1521
GB_GCA_002369295.1 1236 945 2181 1299 1013 750 1562 2312
GB_GCA_002385225.1 944 1418 2362 779 1606 384 2001 2385
GB_GCA_002293425.1 714 733 1447 684 787 323 1148 1471
GB_GCA_002378885.1 881 695 1576 943 748 490 1201 1691
GB_GCA_002432655.1 1150 1534 2684 1011 1720 415 2316 2731
GB_GCA_002311665.1 1233 1048 2281 1137 1150 479 1808 2287
GB_GCA_002702865.1 368 551 919 376 591 159 808 967
GB_GCA_002340325.1 2081 2053 4134 1983 2239 846 3376 4222
GB_GCA_002434705.1 663 386 1049 693 427 446 674 1120
GB_GCA_002404835.1 875 593 1468 839 642 447 1034 1481
GB_GCA_002410865.1 1312 1479 2791 1322 1594 597 2319 2916
GB_GCA_002788015.1 1084 1218 2302 1123 1292 483 1932 2415
GB_GCA_002448355.1 1286 1272 2558 1233 1375 538 2070 2608
GB_GCA_002705265.1 495 910 1405 493 961 212 1242 1454
GB_GCA_002710135.1 344 600 944 363 606 137 832 969
GB_GCA_002392585.1 360 434 794 346 453 146 653 799
GB_GCA_002329575.1 550 1009 1559 668 961 246 1383 1629
GB_GCA_002420705.1 2669 2086 4755 2507 2263 1091 3679 4770
GB_GCA_002421995.1 1563 1190 2753 1693 1247 751 2189 2940
GB_GCA_002395405.1 526 639 1165 547 663 247 963 1210
GB_GCA_002368955.1 1523 745 2268 1562 826 849 1539 2388
GB_GCA_002349625.1 1128 873 2001 1062 962 511 1513 2024
GB_GCA_002724925.1 1909 1784 3693 1608 2107 779 2936 3715
GB_GCA_002293765.1 1448 1146 2594 1394 1212 771 1835 2606
GB_GCA_002421425.1 664 839 1503 668 854 260 1262 1522
GB_GCA_002780005.1 782 985 1767 787 1002 320 1469 1789
GB_GCA_002473065.1 1381 1768 3149 1189 1965 485 2669 3154
GB_GCA_002472205.1 1230 1079 2309 1134 1226 501 1859 2360
GB_GCA_002790415.1 290 257 547 300 277 174 403 577
GB_GCA_002405405.1 1459 1041 2500 1710 988 797 1901 2698
GB_GCA_002841115.1 1500 2087 3587 1297 2484 532 3249 3781
GB_GCA_002457415.1 1414 1571 2985 1100 1916 482 2534 3016
GB_GCA_002362495.1 754 772 1526 719 830 297 1252 1549
GB_GCA_002733335.1 964 1447 2411 865 1564 366 2063 2429
GB_GCA_002317215.1 312 471 783 330 475 132 673 805
GB_GCA_002478115.1 2863 1940 4803 2893 1997 1413 3477 4890
GB_GCA_002404125.1 623 429 1052 596 465 371 690 1061
GB_GCA_002698965.1 2920 1437 4357 2963 1519 1581 2901 4482
GB_GCA_002394635.1 757 977 1734 796 1033 305 1524 1829
GB_GCA_002382135.1 1394 1334 2728 1355 1449 615 2189 2804
GB_GCA_002430845.1 1181 3961 5142 1243 3920 412 4751 5163
GB_GCA_002435825.1 889 878 1767 780 1009 373 1416 1789
GB_GCA_002350725.1 937 733 1670 894 784 567 1111 1678
GB_GCA_002402125.1 2070 1775 3845 2139 1923 976 3086 4062
GB_GCA_002309715.1 593 686 1279 568 720 244 1044 1288
GB_GCA_900199435.1 1253 1401 2654 1094 1560 477 2177 2654
GB_GCA_002311855.1 335 739 1074 346 740 151 935 1086
GB_GCA_002816355.1 582 904 1486 602 907 249 1260 1509
GB_GCA_002422875.1 398 613 1011 375 652 180 847 1027
GB_GCA_002842925.1 1295 1372 2667 1128 1658 473 2313 2786
GB_GCA_002490725.1 665 698 1363 604 767 252 1119 1371
GB_GCA_002336675.1 1023 906 1929 996 999 451 1544 1995
GB_GCA_002352375.1 1412 1450 2862 1501 1566 650 2417 3067
GB_GCA_002493465.1 1072 980 2052 901 1143 488 1556 2044
GB_GCA_002493325.1 890 973 1863 879 1013 344 1548 1892
GB_GCA_002292015.1 584 1135 1719 558 1240 192 1606 1798
GB_GCA_002842395.1 801 1477 2278 613 1677 237 2053 2290
GB_GCA_002390425.1 1089 1488 2577 1035 1588 415 2208 2623
GB_GCA_002781365.1 1268 1168 2436 1117 1344 555 1906 2461
GB_GCA_002732955.1 1371 1582 2953 1191 1812 489 2514 3003
GB_GCA_002351235.1 1473 1364 2837 1403 1474 595 2282 2877
GB_GCA_002841945.1 3815 2027 5842 3777 2199 1917 4059 5976
GB_GCA_002376885.1 408 325 733 412 333 243 502 745
GB_GCA_002423555.1 561 353 914 550 406 296 660 956
GB_GCA_002773095.1 388 375 763 395 382 196 581 777
GB_GCA_002717245.1 360 857 1217 358 880 128 1110 1238
GB_GCA_002841605.1 731 912 1643 800 967 311 1456 1767
GB_GCA_002348265.1 957 1101 2058 925 1198 394 1729 2123
GB_GCA_002281095.1 575 1136 1711 574 1245 226 1593 1819
GB_GCA_002689655.1 3627 1735 5362 3445 1951 1823 3573 5396
GB_GCA_002433945.1 717 470 1187 685 502 361 826 1187
GB_GCA_002413395.1 1743 2239 3982 1572 2453 664 3361 4025
GB_GCA_002439025.1 801 693 1494 843 730 426 1147 1573
GB_GCA_002728725.1 418 831 1249 454 875 145 1184 1329
GB_GCA_002344885.1 1682 1998 3680 1477 2268 580 3165 3745
GB_GCA_002730485.1 1490 1268 2758 1539 1319 808 2050 2858
GB_GCA_002429445.1 586 363 949 616 382 381 617 998
GB_GCA_002389415.1 818 719 1537 874 752 396 1230 1626
GB_GCA_002729725.1 2476 1622 4098 2417 1748 1272 2893 4165
GB_GCA_002476495.1 883 1058 1941 816 1153 354 1615 1969
GB_GCA_002366835.1 1281 1507 2788 1273 1662 569 2366 2935
GB_GCA_002314605.1 1218 1072 2290 1267 1078 546 1799 2345
GB_GCA_002787875.1 709 414 1123 784 418 388 814 1202
GB_GCA_002790495.1 397 343 740 458 365 246 577 823
GB_GCA_002708415.1 641 716 1357 599 812 323 1088 1411
GB_GCA_002343605.1 715 472 1187 684 501 358 827 1185
GB_GCA_002369495.1 1058 1050 2108 1218 1058 487 1789 2276
GB_GCA_002793455.1 501 361 862 595 414 307 702 1009
GB_GCA_002338345.1 329 468 797 392 469 200 661 861
GB_GCA_002370555.1 2944 2178 5122 3578 1542 1656 3464 5120
GB_GCA_002717955.1 1528 2163 3691 1227 2471 480 3218 3698
GB_GCA_002337385.1 1413 1399 2812 1171 1663 502 2332 2834
GB_GCA_002704145.1 318 628 946 315 650 132 833 965
GB_GCA_002366995.1 581 558 1139 677 540 283 934 1217
GB_GCA_002716765.1 419 398 817 439 389 237 591 828
GB_GCA_002321235.1 941 754 1695 895 836 431 1300 1731
GB_GCA_002439135.1 1948 2669 4617 1623 3058 578 4103 4681
GB_GCA_002361335.1 3892 2429 6321 3874 2547 1787 4634 6421
GB_GCA_002551355.1 3907 3218 7125 3647 3527 1599 5575 7174
GB_GCA_002408985.1 1037 881 1918 1019 970 519 1470 1989
GB_GCA_002499945.1 1694 1283 2977 1603 1457 732 2328 3060
GB_GCA_002753595.1 2036 1699 3735 1961 1797 888 2870 3758
GB_GCA_002733105.1 844 1194 2038 723 1336 326 1733 2059
GB_GCA_002405695.1 621 456 1077 611 494 345 760 1105
GB_GCA_002690925.1 4155 1919 6074 3999 2168 2149 4018 6167
GB_GCA_002773495.1 414 323 737 433 334 221 546 767
GB_GCA_002490475.1 1413 1027 2440 1342 1125 622 1845 2467
GB_GCA_002422245.1 988 952 1940 1065 1045 471 1639 2110
GB_GCA_002411175.1 904 968 1872 814 1097 401 1510 1911
GB_GCA_002361565.1 883 665 1548 854 719 450 1123 1573
GB_GCA_002471195.1 1275 1204 2479 1229 1300 473 2056 2529
GB_GCA_002239105.1 1716 1764 3480 1624 1908 762 2770 3532
GB_GCA_002394905.1 771 1076 1847 742 1156 257 1641 1898
GB_GCA_002841035.1 1488 990 2478 1696 1104 860 1940 2800
GB_GCA_002778965.1 376 345 721 391 363 209 545 754
GB_GCA_002424625.1 1110 1228 2338 1071 1323 500 1894 2394
GB_GCA_002349385.1 527 607 1134 565 622 272 915 1187
GB_GCA_002305045.1 667 862 1529 618 918 246 1290 1536
GB_GCA_002389605.1 626 1366 1992 730 1417 255 1892 2147
GB_GCA_002373155.1 1090 1163 2253 1147 1214 407 1954 2361
GB_GCA_002422165.1 541 432 973 495 482 279 698 977
GB_GCA_002389345.1 1027 764 1791 1036 835 520 1351 1871
GB_GCA_002377725.1 653 942 1595 712 964 304 1372 1676
GB_GCA_002348945.1 1195 1473 2668 1191 1553 441 2303 2744
GB_GCA_002405355.1 589 411 1000 565 441 356 650 1006
GB_GCA_002482945.1 1936 1321 3257 1800 1484 868 2416 3284
GB_GCA_002343715.1 2532 1191 3723 2431 1281 1418 2294 3712
GB_GCA_002386585.1 1398 1486 2884 1366 1735 642 2459 3101
GB_GCA_002342245.1 491 910 1401 648 897 232 1313 1545
GB_GCA_002340435.1 709 1043 1752 703 1112 270 1545 1815
GB_GCA_002703205.1 338 693 1031 290 749 107 932 1039
GB_GCA_900240235.1 1352 1166 2518 1245 1284 532 1997 2529
GB_GCA_002774005.1 299 286 585 306 305 154 457 611
GB_GCA_002348545.1 674 802 1476 699 830 316 1213 1529
GB_GCA_002407865.1 1856 1387 3243 1919 1358 1020 2257 3277
GB_GCA_002254845.1 1347 1424 2771 1512 1566 746 2332 3078
GB_GCA_002386965.1 831 844 1675 815 881 408 1288 1696
GB_GCA_002391865.1 1412 1263 2675 1304 1385 616 2073 2689
GB_GCA_002336445.1 1738 1007 2745 1634 1104 795 1943 2738
GB_GCA_002441125.1 785 864 1649 825 850 357 1318 1675
GB_GCA_002256425.1 1498 1792 3290 1233 2057 435 2855 3290
GB_GCA_002733505.1 1046 1319 2365 855 1530 385 2000 2385
GB_GCA_002325825.1 1055 951 2006 1216 853 848 1221 2069
GB_GCA_002321195.1 649 676 1325 574 769 254 1089 1343
GB_GCA_002787775.1 1952 1273 3225 1893 1395 1092 2196 3288
GB_GCA_002717485.1 486 950 1436 467 990 181 1276 1457
GB_GCA_002391565.1 2688 2147 4835 2672 2330 1118 3884 5002
GB_GCA_002296235.1 1728 1634 3362 1631 1826 734 2723 3457
GB_GCA_002441015.1 765 912 1677 756 964 312 1408 1720
GB_GCA_002308315.1 943 825 1768 1103 779 517 1365 1882
GB_GCA_002383495.1 1107 1384 2491 1026 1487 387 2126 2513
GB_GCA_002724585.1 919 1126 2045 954 1184 432 1706 2138
GB_GCA_002430445.1 526 798 1324 532 836 209 1159 1368
GB_GCA_002327995.1 1799 1883 3682 1787 2069 912 2944 3856
GB_GCA_002323315.1 2872 1447 4319 3001 1555 1603 2953 4556
GB_GCA_002336195.1 1249 1136 2385 1365 1221 618 1968 2586
GB_GCA_002492425.1 879 1272 2151 805 1360 337 1828 2165
GB_GCA_002773155.1 554 406 960 735 393 369 759 1128
GB_GCA_002349875.1 562 426 988 566 430 310 686 996
GB_GCA_002418745.1 728 1051 1779 711 1161 304 1568 1872
GB_GCA_002294445.1 310 249 559 360 255 201 414 615
GB_GCA_002336485.1 1720 1124 2844 1673 1225 825 2073 2898
GB_GCA_002437725.1 1219 959 2178 1056 1136 514 1678 2192
GB_GCA_002479485.1 1866 1766 3632 1744 1916 756 2904 3660
GB_GCA_002840765.1 1905 2239 4144 1616 2544 595 3565 4160
GB_GCA_002403105.1 799 933 1732 819 999 302 1516 1818
GB_GCA_002710265.1 411 741 1152 420 762 161 1021 1182
GB_GCA_002361015.1 809 877 1686 928 834 413 1349 1762
GB_GCA_002411405.1 835 931 1766 917 900 360 1457 1817
GB_GCA_002315455.1 918 843 1761 1042 841 464 1419 1883
GB_GCA_002779155.1 461 794 1255 483 884 192 1175 1367
GB_GCA_002482435.1 1055 994 2049 1179 1019 446 1752 2198
GB_GCA_002315935.1 876 959 1835 869 984 339 1514 1853
GB_GCA_002372325.1 1697 1020 2717 1684 1096 913 1867 2780
GB_GCA_002305915.1 1044 1255 2299 984 1350 450 1884 2334
GB_GCA_002315715.1 554 522 1076 540 554 248 846 1094
GB_GCA_002390105.1 1136 999 2135 1284 1079 578 1785 2363
GB_GCA_002304735.1 838 905 1743 818 983 365 1436 1801
GB_GCA_002780135.1 517 333 850 543 357 289 611 900
GB_GCA_002683085.1 355 627 982 330 672 149 853 1002
GB_GCA_002793255.1 455 381 836 504 383 277 610 887
GB_GCA_002327565.1 1974 2225 4199 1837 2462 715 3584 4299
GB_GCA_002714125.1 1689 1762 3451 1688 1810 861 2637 3498
GB_GCA_002305235.1 1246 964 2210 1355 956 689 1622 2311
GB_GCA_002687175.1 608 485 1093 631 493 366 758 1124
GB_GCA_002401185.1 577 876 1453 608 939 242 1305 1547
GB_GCA_002409535.1 485 715 1200 483 745 224 1004 1228
GB_GCA_002708205.1 890 1444 2334 914 1484 311 2087 2398
GB_GCA_002320485.1 845 831 1676 888 901 476 1313 1789
GB_GCA_002431945.1 1150 1002 2152 1095 1087 486 1696 2182
GB_GCA_002382455.1 705 992 1697 743 1038 342 1439 1781
GB_GCA_002450405.1 656 1129 1785 587 1216 258 1545 1803
GB_GCA_002840125.1 1887 2364 4251 1675 2576 624 3627 4251
GB_GCA_002336595.1 989 1409 2398 1034 1474 444 2064 2508
GB_GCA_002772535.1 555 485 1040 535 510 312 733 1045
GB_GCA_002711555.1 928 1620 2548 792 1770 295 2267 2562
GB_GCA_002310035.1 896 739 1635 945 749 404 1290 1694
GB_GCA_002784965.1 413 351 764 434 364 265 533 798
GB_GCA_002842655.1 840 932 1772 875 1016 314 1577 1891
GB_GCA_002733645.1 1717 1793 3510 1501 2057 735 2823 3558
GB_GCA_002478645.1 956 759 1715 933 840 540 1233 1773
GB_GCA_002403295.1 1199 887 2086 1308 846 655 1499 2154
GB_GCA_002728355.1 303 743 1046 287 783 107 963 1070
GB_GCA_002292925.1 1430 1340 2770 1479 1425 642 2262 2904
GB_GCA_002450655.1 1972 1548 3520 1860 1703 1036 2527 3563
GB_GCA_002719135.1 734 1250 1984 735 1294 275 1754 2029
GB_GCA_002721755.1 532 992 1524 515 1040 196 1359 1555
GB_GCA_002353975.1 1012 856 1868 1119 861 506 1474 1980
GB_GCA_002280475.1 1570 1559 3129 1355 1812 547 2620 3167
GB_GCA_002396405.1 1698 943 2641 1759 1008 899 1868 2767
GB_GCA_002783025.1 450 417 867 466 447 283 630 913
GB_GCA_002707325.1 256 610 866 253 645 112 786 898
GB_GCA_002500855.1 541 1045 1586 628 1085 239 1474 1713
GB_GCA_002723195.1 1836 1496 3332 1797 1594 1009 2382 3391
GB_GCA_002404425.1 1001 944 1945 1217 929 472 1674 2146
GB_GCA_002317155.1 1240 1142 2382 1226 1223 541 1908 2449
GB_GCA_002722095.1 1499 2209 3708 1287 2427 450 3264 3714
GB_GCA_002349955.1 940 1031 1971 1081 1024 458 1647 2105
GB_GCA_002712135.1 1188 1736 2924 1115 1861 451 2525 2976
GB_GCA_002409215.1 356 287 643 382 286 198 470 668
GB_GCA_002404215.1 1145 1428 2573 1260 1481 538 2203 2741
GB_GCA_002371075.1 514 625 1139 539 647 248 938 1186
GB_GCA_002841405.1 1731 1708 3439 1782 1811 715 2878 3593
GB_GCA_002428265.1 2335 1450 3785 2229 1575 1293 2511 3804
GB_GCA_002686255.1 1236 1634 2870 1168 1770 517 2421 2938
GB_GCA_002698665.1 459 842 1301 462 866 236 1092 1328
GB_GCA_002714015.1 667 1521 2188 587 1636 162 2061 2223
GB_GCA_002439865.1 723 474 1197 820 442 457 805 1262
GB_GCA_002338335.1 568 749 1317 609 774 282 1101 1383
GB_GCA_002381985.1 1111 1025 2136 1232 1081 509 1804 2313
GB_GCA_002315885.1 1084 929 2013 1099 951 472 1578 2050
GB_GCA_002722775.1 1202 1233 2435 1157 1343 590 1910 2500
GB_GCA_002690945.1 585 624 1209 601 632 354 879 1233
GB_GCA_002482815.1 2350 1251 3601 2627 1323 1385 2565 3950
GB_GCA_002711265.1 750 1216 1966 621 1376 241 1756 1997
GB_GCA_002455755.1 1383 1686 3069 1738 1546 790 2494 3284
GB_GCA_002690405.1 1255 1897 3152 1276 1978 501 2753 3254
GB_GCA_002725285.1 1509 1996 3505 1483 2081 683 2881 3564
GB_GCA_002350765.1 1046 906 1952 964 1001 416 1549 1965
GB_GCA_002452895.1 940 1116 2056 823 1271 392 1702 2094
GB_GCA_002711845.1 1297 1834 3131 1085 2052 417 2720 3137
GB_GCA_002709385.1 1398 1082 2480 1338 1165 776 1727 2503
GB_GCA_002746215.1 1422 1526 2948 1261 1708 571 2398 2969
GB_GCA_002238925.1 2429 1904 4333 2216 2183 908 3491 4399
GB_GCA_002705145.1 1286 1594 2880 1247 1721 554 2414 2968
GB_GCA_002433485.1 2258 1447 3705 2256 1505 1158 2603 3761
GB_GCA_002591655.1 930 1428 2358 949 1528 414 2063 2477
GB_GCA_002371155.1 457 363 820 449 378 300 527 827
GB_GCA_002297865.1 2173 1704 3877 2515 1702 1204 3013 4217
GB_GCA_002327885.1 1730 1811 3541 1775 1916 775 2916 3691
GB_GCA_002689405.1 351 740 1091 381 753 130 1004 1134
GB_GCA_002492355.1 810 738 1548 815 799 372 1242 1614
GB_GCA_002731155.1 1295 1353 2648 1299 1461 626 2134 2760
GB_GCA_002439165.1 2995 1634 4629 2873 1773 1508 3138 4646
GB_GCA_002376165.1 894 1070 1964 877 1188 360 1705 2065
GB_GCA_002435705.1 1656 1027 2683 1687 1112 991 1808 2799
GB_GCA_002404975.1 878 577 1455 904 669 436 1137 1573
GB_GCA_002425885.1 2175 1662 3837 2331 1662 1043 2950 3993
GB_GCA_002708765.1 1083 1488 2571 1096 1523 507 2112 2619
GB_GCA_002336855.1 1231 1371 2602 1189 1500 492 2197 2689
GB_GCA_002791115.1 727 450 1177 761 461 383 839 1222
GB_GCA_002731375.1 1854 2643 4497 1691 2856 662 3885 4547
GB_GCA_002321295.1 918 673 1591 891 745 437 1199 1636
GB_GCA_002731775.1 1424 1702 3126 1333 1847 622 2558 3180
GB_GCA_002490835.1 1835 1501 3336 1620 1728 630 2718 3348
GB_GCA_002375465.1 1323 1635 2958 1104 1862 423 2543 2966
GB_GCA_002705325.1 708 1288 1996 640 1415 294 1761 2055
GB_GCA_002861635.1 3171 2009 5180 3384 2121 1949 3556 5505
GB_GCA_002342165.1 831 1270 2101 860 1359 324 1895 2219
GB_GCA_002707915.1 416 834 1250 427 862 171 1118 1289
GB_GCA_002786355.1 1483 1396 2879 1371 1512 550 2333 2883
GB_GCA_002290585.1 838 832 1670 745 952 354 1343 1697
GB_GCA_002386885.1 1029 1226 2255 1156 1275 482 1949 2431
GB_GCA_002728675.1 2278 2310 4588 2412 2313 974 3751 4725
GB_GCA_002293545.1 1232 1160 2392 1334 1210 555 1989 2544
GB_GCA_002482655.1 1108 1455 2563 1010 1559 391 2178 2569
GB_GCA_002304945.1 1381 1461 2842 1337 1591 594 2334 2928
GB_GCA_002400775.1 695 806 1501 627 903 323 1207 1530
GB_GCA_002865985.1 669 1171 1840 528 1315 218 1625 1843
GB_GCA_002409375.1 737 851 1588 853 863 420 1296 1716
GB_GCA_002439585.1 774 816 1590 690 907 298 1299 1597
GB_GCA_002737595.1 449 856 1305 450 911 175 1186 1361
GB_GCA_002238435.1 1771 1040 2811 1758 1191 1121 1828 2949
GB_GCA_002724835.1 662 630 1292 678 671 445 904 1349
GB_GCA_002315535.1 556 742 1298 608 754 238 1124 1362
GB_GCA_002436505.1 947 759 1706 1028 790 446 1372 1818
GB_GCA_002291495.1 2494 1443 3937 2962 1230 1681 2511 4192
GB_GCA_002718375.1 276 553 829 267 585 92 760 852
GB_GCA_002361775.1 1314 1423 2737 1255 1523 509 2269 2778
GB_GCA_002344125.1 2023 1289 3312 1976 1340 1004 2312 3316
GB_GCA_002340765.1 733 920 1653 692 989 291 1390 1681
GB_GCA_002796005.1 507 342 849 528 355 295 588 883
GB_GCA_002347425.1 825 979 1804 846 1093 387 1552 1939
GB_GCA_002393975.1 979 535 1514 1094 541 700 935 1635
GB_GCA_002863045.1 803 1044 1847 781 1118 430 1469 1899
GB_GCA_002480125.1 577 852 1429 648 859 289 1218 1507
GB_GCA_002705445.1 269 676 945 281 676 116 841 957
GB_GCA_002256115.1 2275 2081 4356 1974 2449 830 3593 4423
GB_GCA_002336105.1 1884 1416 3300 1758 1566 880 2444 3324
GB_GCA_002699545.1 1213 1436 2649 1138 1617 459 2296 2755
GB_GCA_002427325.1 776 824 1600 769 858 374 1253 1627
GB_GCA_002422765.1 421 377 798 449 405 253 601 854
GB_GCA_002413305.1 1710 1314 3024 1719 1386 849 2256 3105
GB_GCA_002722395.1 499 925 1424 435 1012 194 1253 1447
GB_GCA_002684935.1 1816 1525 3341 1791 1637 1025 2403 3428
GB_GCA_002711495.1 637 1110 1747 650 1144 258 1536 1794
GB_GCA_002451055.1 1921 1322 3243 1983 1373 982 2374 3356
GB_GCA_002699185.1 1312 1446 2758 1107 1719 459 2367 2826
GB_GCA_002746155.1 1389 1833 3222 1298 1952 525 2725 3250
GB_GCA_002398845.1 742 905 1647 725 996 278 1443 1721
GB_GCA_002441315.1 1576 1640 3216 1492 1780 655 2617 3272
GB_GCA_002450715.1 1665 1115 2780 1740 1138 1025 1853 2878
GB_GCA_002701885.1 369 850 1219 365 895 110 1150 1260
GB_GCA_002435455.1 788 664 1452 777 722 374 1125 1499
GB_GCA_002385635.1 620 872 1492 655 912 245 1322 1567
GB_GCA_002363575.1 943 764 1707 970 798 448 1320 1768
GB_GCA_002256245.1 1891 2291 4182 1537 2658 624 3571 4195
GB_GCA_002401885.1 1634 1619 3253 1529 1823 697 2655 3352
GB_GCA_002717305.1 462 735 1197 436 800 220 1016 1236
GB_GCA_002713365.1 804 1580 2384 670 1736 167 2239 2406
GB_GCA_002451385.1 543 526 1069 516 559 283 792 1075
GB_GCA_002791575.1 1257 1489 2746 1189 1580 482 2287 2769
GB_GCA_002328325.1 775 844 1619 861 873 387 1347 1734
GB_GCA_002238445.1 2536 2137 4673 2422 2302 1120 3604 4724
GB_GCA_002785285.1 488 353 841 535 377 313 599 912
GB_GCA_002395865.1 1047 802 1849 1114 885 544 1455 1999
GB_GCA_002456095.1 1754 1241 2995 1835 1314 968 2181 3149
GB_GCA_002347365.1 1041 1208 2249 987 1272 422 1837 2259
GB_GCA_002697045.1 1212 1226 2438 1006 1473 410 2069 2479
GB_GCA_002402175.1 1895 1725 3620 1787 1919 840 2866 3706
GB_GCA_002384815.1 1052 1659 2711 890 1835 355 2370 2725
GB_GCA_002350505.1 848 993 1841 967 932 386 1513 1899
GB_GCA_002331565.1 1394 1065 2459 1416 1183 822 1777 2599
GB_GCA_002692375.1 643 1254 1897 554 1388 190 1752 1942
GB_GCA_002693565.1 908 1474 2382 999 1485 367 2117 2484
GB_GCA_002483765.1 1217 1172 2389 1279 1183 601 1861 2462
GB_GCA_002349785.1 567 663 1230 559 685 253 991 1244
GB_GCA_002703285.1 793 1022 1815 800 1109 353 1556 1909
GB_GCA_002290645.1 491 876 1367 492 918 274 1136 1410
GB_GCA_002686135.1 565 946 1511 501 1050 231 1320 1551
GB_GCA_002478695.1 523 1338 1861 573 1419 196 1796 1992
GB_GCA_002412865.1 707 894 1601 575 1034 289 1320 1609
GB_GCA_002411255.1 804 665 1469 870 643 531 982 1513
GB_GCA_002401565.1 1437 1426 2863 1377 1548 592 2333 2925
GB_GCA_002793015.1 387 397 784 401 411 212 600 812
GB_GCA_002722835.1 457 960 1417 381 1080 161 1300 1461
GB_GCA_002694855.1 853 1239 2092 835 1321 339 1817 2156
GB_GCA_002722015.1 831 1189 2020 824 1254 350 1728 2078
GB_GCA_002730875.1 2711 1525 4236 2568 1671 1337 2902 4239
GB_GCA_002708845.1 2058 1592 3650 1909 1762 775 2896 3671
GB_GCA_002433145.1 1184 789 1973 1133 838 590 1381 1971
GB_GCA_002342485.1 1150 843 1993 1263 863 569 1557 2126
GB_GCA_002748505.1 587 947 1534 638 1030 216 1452 1668
GB_GCA_002471845.1 763 944 1707 761 968 348 1381 1729
GB_GCA_002340925.1 352 799 1151 448 797 159 1086 1245
GB_GCA_002328585.1 1485 1306 2791 1515 1335 718 2132 2850
GB_GCA_002291985.1 751 868 1619 749 963 354 1358 1712
GB_GCA_002342735.1 1579 2536 4115 1807 2647 673 3781 4454
GB_GCA_002684495.1 1302 1806 3108 1291 1859 502 2648 3150
GB_GCA_002430045.1 255 716 971 345 733 126 952 1078
GB_GCA_002779575.1 1121 897 2018 1419 958 674 1703 2377
GB_GCA_002317595.1 1207 1157 2364 1237 1245 532 1950 2482
GB_GCA_002385305.1 1896 1751 3647 1589 2109 760 2938 3698
GB_GCA_002722885.1 1712 2165 3877 1604 2288 663 3229 3892
GB_GCA_002328075.1 2156 1814 3970 2073 1933 895 3111 4006
GB_GCA_002430075.1 369 829 1198 455 827 168 1114 1282
GB_GCA_002457245.1 295 887 1182 294 936 92 1138 1230
GB_GCA_002392625.1 839 860 1699 918 864 386 1396 1782
GB_GCA_002704225.1 1070 1685 2755 990 1799 364 2425 2789
GB_GCA_002717225.1 1009 1549 2558 873 1733 382 2224 2606
GB_GCA_002343105.1 1627 1476 3103 1371 1754 649 2476 3125
GB_GCA_002706685.1 1463 1782 3245 1230 2022 512 2740 3252
GB_GCA_002697565.1 843 1096 1939 825 1200 357 1668 2025
GB_GCA_002720325.1 853 1465 2318 812 1545 305 2052 2357
GB_GCA_002373955.1 407 501 908 447 518 188 777 965
GB_GCA_002321305.1 1340 913 2253 1345 971 734 1582 2316
GB_GCA_002344785.1 2114 1151 3265 1995 1311 1226 2080 3306
GB_GCA_002399855.1 602 870 1472 635 874 254 1255 1509
GB_GCA_002384855.1 1711 1901 3612 1565 2087 684 2968 3652
GB_GCA_002482465.1 507 550 1057 475 582 241 816 1057
GB_GCA_002306345.1 390 349 739 374 372 212 534 746
GB_GCA_002716945.1 292 875 1167 284 886 101 1069 1170
GB_GCA_002313985.1 661 737 1398 698 772 281 1189 1470
GB_GCA_002437305.1 965 897 1862 895 1016 373 1538 1911
GB_GCA_002726655.1 1562 2035 3597 1578 2107 615 3070 3685
GB_GCA_002700085.1 537 925 1462 515 979 205 1289 1494
GB_GCA_002689625.1 661 993 1654 521 1153 222 1452 1674
GB_GCA_002414265.1 699 1322 2021 1173 996 385 1784 2169
GB_GCA_002839535.1 646 995 1641 693 1046 314 1425 1739
GB_GCA_002708985.1 919 804 1723 872 893 429 1336 1765
GB_GCA_002323715.1 910 980 1890 941 1083 425 1599 2024
GB_GCA_002434185.1 1039 1546 2585 792 1818 315 2295 2610
GB_GCA_900241035.1 3791 2741 6532 3688 3052 1668 5072 6740
GB_GCA_002393945.1 1162 940 2102 1067 1048 467 1648 2115
GB_GCA_002718495.1 458 810 1268 447 872 179 1140 1319
GB_GCA_002404685.1 812 971 1783 862 988 358 1492 1850
GB_GCA_002305635.1 707 740 1447 628 827 277 1178 1455
GB_GCA_002308575.1 582 593 1175 631 580 300 911 1211
GB_GCA_002321855.1 904 766 1670 1055 777 532 1300 1832
